nazev,1 - znamka,1 - reasoning,1-t,2 - znamka,2 - reasoning,2-t,3 - znamka,3 - reasoning,3-t,4 - znamka,4 - reasoning,4-t,5 - znamka,5 - reasoning,5-t,6 - znamka,6 - reasoning,6-t,7 - znamka,7 - reasoning,7-t,8 - znamka,8 - reasoning,8-t,9 - znamka,9 - reasoning,9-t,10 - znamka,10 - reasoning,10-t,11 - znamka,11 - reasoning,11-t,12 - znamka,12 - reasoning,12-t,13 - znamka,13 - reasoning,13-t,14 - znamka,14 - reasoning,14-t,15 - znamka,15 - reasoning,15-t,16 - znamka,16 - reasoning,16-t,17 - znamka,17 - reasoning,17-t,18 - znamka,18 - reasoning,18-t,19 - znamka,19 - reasoning,19-t,20 - znamka,20 - reasoning,20-t,42
o1,1,1,12.75,1,1,52.52,1,1,17.92,1,0.1,12.54,1,1,24.3,1,1,77.44,1,0.1,110.25,1,1,24.79,1,1,116.78,1,0.1,37.24,1,1,33.88,1,0.1,23.41,1,0.1,23.36,1,0.5,83.75,1,0.1,9.59,1,0.1,10.67,1,0.8,109.07,1,1,36.02,1,1,12.1,1,1,42.79,
o3-mini,1,1,24.63,1,0.1,81.89,1,0.1,38.62,1,1,28.89,1,1,33.74,1,1,59.92,1,1,128.06,1,1,37.06,1,1,104,1,0.1,31,1,1,52.3,1,1,81.97,1,1,29.82,1,1,74.51,1,0.5,25.51,1,1,51.2,1,0.6,64.52,1,1,34.01,1,1,14.52,1,1,90.15,
4,1,0.1,61.88,1,1,71.44,0,0,90,1,0.1,42.64,1,1,67.06,1,1,63,0,0,200,1,1,55.96,1,1,63.53,1,1,46.4,1,1,49.99,1,1,59.75,1,0.1,63.72,1,0.5,56.86,1,0.5,49.89,1,0.1,40,1,0.2,93.28,0,0,102.25,1,1,42.63,0,0,90,
4o-mini,1,1,48.54,1,1,81.61,1,0.1,39.18,1,1,33.88,1,1,27.38,1,1,25.21,0,0,141,1,0.1,35.49,0,0,83.58,1,0.1,26.54,1,0.1,38.01,1,0.1,21.93,1,1,28.9,0,0,79,1,0.5,15.75,1,0.5,25.46,1,0.8,51.02,0,0,44.43,1,1,18.36,0,0,48.79,
4o ,1,1,39.06,1,1,50.34,1,1,25.6,1,1,33.24,1,1,25.56,1,0.1,99.13,1,1,51.46,1,1,36.44,1,1,68.7,1,1,57.54,1,1,62.1,1,0.1,62.34,1,1,29.1,1,1,63.84,1,0.5,35.55,1,0.8,33.55,1,1,59.15,1,1,31.64,1,1,19.25,1,1,51.23,
4.5,1,1,33.9,1,1,79.17,1,1,39.39,1,1,54.07,1,1,54.09,1,1,121.26,1,1,130,1,1,59.24,1,1,94.6,1,1,50.29,1,1,62,1,0.5,102.19,1,1,63.71,1,1,104.36,1,1,51.25,1,1,64.06,1,1,117.6,1,0.8,168.42,1,1,62.53,1,0.4,115.66,
Grok 2,1,1,20.65,1,1,28.21,0,0,41.59,1,0.8,21.24,1,1,23.54,1,0.1,27.06,1,0.2,40.6,1,1,31.42,1,0.8,37.02,1,1,29.32,1,0.8,33.64,1,0.1,38.45,1,0.8,32.24,1,0.5,43.03,1,0.5,24.99,1,0.8,32.6,1,0.2,42.17,0,0,28.86,1,0.8,14.17,0.5,0.4,75.25,
Grok 3,1,1,15.1,1,0.8,29.82,0,0,34.32,1,1,21.25,1,1,26.29,1,0.4,36.23,1,0.4,40.8,1,0.8,25.36,1,0.6,40.23,1,0.8,19.27,1,1,23.2,1,0.1,38.5,1,1,25.79,1,0.1,76.79,1,0.5,26.87,1,0.5,38.6,1,1,35.55,1,0.1,30.08,1,1,17.76,0,0,61.91,
Claude 3.7 Sonnet,1,1,21.51,1,0.8,51.09,1,1,27.98,1,1,26.71,1,1,22.16,1,1,39.31,1,0.6,52.04,1,0.2,34.77,1,0.7,60,1,1,28.64,1,0.1,41.63,0,0,46.88,1,1,27.14,1,0.5,36.83,1,0.5,10.3,1,0.5,20.51,1,1,35.22,1,1,24.39,1,1,19.51,1,1,32.55,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
