X--Trace 1::[V(3) | V(PR1)],Y--Trace 1::[V(3) | V(PR1)],,X--Trace 2::[V(5) | V(PR2)],Y--Trace 2::[V(5) | V(PR2)]
1.24,1.24,,1.24,3.73614
1.34,1.34,,1.34,4.03616
1.44,1.44,,1.44,4.33618
1.54,1.54,,1.54,4.6362
1.64,1.64,,1.64,4.93622
1.74,1.74,,1.74,5.23623
1.84,1.84,,1.84,5.53625
1.94,1.94,,1.94,5.83627
2.04,2.04,,2.04,6.13629
2.14,2.14,,2.14,6.43631
2.24,2.24,,2.24,6.73633
2.34,2.34,,2.34,7.03634
2.44,2.44,,2.44,7.33636
2.54,2.54,,2.54,7.63638
2.64,2.64,,2.64,7.9364
2.74,2.74,,2.74,8.23642
2.84,2.84,,2.84,8.53644
2.94,2.94,,2.94,8.83645
