v1,v2,delta
-2.2499999999999982,6.535714285714262,8.78571428571426
-4.508928571428555,14.151785714289565,18.66071428571812
-7.937499999999984,10.500000000000014,18.4375
-3.071428571428552,7.571428571430486,10.642857142859038
8.651785714277297,-2.491071428590351,11.142857142867648
-2.2500000000000253,7.839285714294898,10.089285714294924
-1.2499999996475717,12.07499999997352,13.324999999621092
-0.5500000000000052,8.499999999999996,9.05
-2.63392857142856,6.526785714285681,9.16071428571424
-3.5446428571449013,10.321428571469315,13.866071428614216
-4.357142857142862,7.785714285762662,12.142857142905523
-2.0267857143131494,6.20535714288402,8.23214285719717
-3.241071428590444,9.160714285714285,12.40178571430473
-2.035714285714294,8.410714285714285,10.446428571428578
7.160714285714321,-1.0446428571428532,8.205357142857174
-7.7857142857143105,7.124999999999994,14.910714285714304
-5.000000000031237,10.125000000081249,15.125000000112486
-3.5624999999999774,7.821428571428575,11.383928571428552
-1.6696428570755475,6.089285714285731,7.758928571361279
6.86607142857144,-1.6160714285714084,8.482142857142849
-2.1428571428205445,6.482142857142872,8.624999999963416
5.000000000000046,-0.0892857142857272,5.089285714285773
5.642857142843821,-3.642857142853162,9.285714285696983
7.401785714324647,-3.1875000000597087,10.589285714384356
-3.964285714285713,8.928571428571408,12.892857142857121
-2.071428571397068,6.482142857158236,8.553571428555303
-2.9821428570942303,7.25892857137478,10.241071428469011
-1.8571428571428352,9.598214285740392,11.455357142883226
-2.749999999999997,7.3392857142862065,10.089285714286204
-3.93750000000644,12.250000000000028,16.18750000000647
-3.07500000000003,6.901785714285975,9.976785714286004
-2.9750000000000054,7.330357142868886,10.30535714286889
7.669642857131042,-3.392857142857161,11.062499999988203
8.892857142896284,-0.4107142857142832,9.303571428610567
6.294642857142846,-1.1607142857049126,7.455357142847759
-5.928571428528623,11.000000000000034,16.928571428528656
-0.9107142857201768,6.6428571428009695,7.553571428521146
-1.6874999999994638,8.749999999999977,10.43749999999944
-1.937499999999992,9.66071428572254,11.59821428572253
-10.20535714283965,14.053571428565592,24.258928571405242
8.366071428616058,-2.178571428571427,10.544642857187485
-2.410714285714259,11.225000000000003,13.635714285714261
-3.964285714285699,5.642857142800362,9.60714285708606
-3.4249999999999776,5.4017857142677626,8.82678571426774
-8.624999999972514,12.75000000000016,21.374999999972673
-1.8214285714285765,9.616071428560874,11.43749999998945
