lambda_nm,intensity,FWHM_nm,lambda_nm_ref,Em_eV,A_gm,intensity_integrated,delta_lambda
429.5289,5451.388888888889,0.16860000000002628,429.413,4.371,0.71,1203.1077444445073,-0.11590000000001055
430.0347,8610.388888888889,0.16859999999996944,429.924,5.308,5.2,1931.5721444443575,-0.11070000000000846
430.8777,15041.388888888889,0.22479999999995925,430.791,4.434,5.9,3821.8060666664874,-0.08670000000000755
431.5521,3606.3888888888887,0.16859999999996944,431.509,5.07,1.5,765.4221444444007,-0.043099999999981264
432.6198,15763.388888888889,0.16870000000000118,432.576,4.473,6.1,3630.1952055555366,-0.04379999999997608
433.6876,2578.3888888888887,0.2248000000000161,433.705,4.415,0.23,584.1240666667011,0.017400000000009186
435.2611,2262.3888888888887,0.2248000000000161,435.274,5.07,1.0,511.6886777777764,0.01290000000000191
437.5088,1956.3888888888887,0.22479999999995925,437.593,2.832,0.0094,466.2471277777479,0.08420000000000982
438.2954,20480.38888888889,0.2247000000000412,438.357,4.312,7.7,5367.759938889085,0.06160000000005539
440.3742,13880.388888888889,0.2247000000000412,440.475,4.371,4.4,3722.427899999999,0.1008000000000493
441.3855,8525.388888888889,0.2248000000000161,441.512,4.415,2.8,1992.0007499999963,0.12650000000002137
442.5652,2317.3888888888887,0.16849999999999454,442.731,2.851,0.0099,538.9306666666515,0.16579999999999018
444.0256,3902.3888888888887,0.22469999999998436,444.234,4.988,1.1,1030.1964111110692,0.20839999999998327
444.5311,2309.3888888888887,0.22469999999998436,444.772,5.009,1.1,669.2958722222204,0.24090000000001055
445.7104,3126.3888888888887,0.393100000000004,445.912,4.955,1.0,1532.64937222222,0.2015999999999849
446.4405,3595.3888888888887,0.2807999999999993,446.655,5.606,5.3,1298.9927166666914,0.2144999999999868
447.3389,3947.3888888888887,0.16849999999999454,447.602,5.614,5.4,852.8323888888223,0.2630999999999517
447.9565,3371.3888888888887,0.22460000000000946,448.217,2.875,0.0053,1016.8362944444674,0.2604999999999791
449.1917,3767.3888888888887,0.1683999999999628,449.457,4.955,1.22,844.6023999999654,0.2652999999999679
452.5592,6224.388888888889,0.22450000000003456,452.862,4.913,1.8,1978.3890388888856,0.3028000000000475
