λ (µm),λ (nm),U (V)
0.88,880,0.93
0.9,900,1.23
0.92,920,1.56
0.94,940,2.01
0.96,960,2.4
0.98,980,2.85
1,1000,3.3
1.025,1025,3.75
1.05,1050,4.35
1.075,1075,4.8
1.1,1100,5.25
1.125,1125,5.61
111,1150,5.94
1.175,1175,6.15
1.185,1185,5.7
1.2,1200,6
1.225,1225,6.96
1.25,1250,7.41
1.275,1275,7.74
1.3,1300,7.86
1.325,1325,7.95
1.35,1350,8.16
1.3625,1362.5,7.74
1.375,1375,8.61
1.4,1400,6.24
1.425,1425,7.23
1.45,1450,8.1
1.475,1475,7.86
1.5,1500,6.75
1.55,1550,4.05
1.6,1600,3.45
1.7,1700,1.5
1.75,1750,1.14
1.8,1800,1.35
1.85,1850,0.63
1.9,1900,0.3
1.95,1950,0.06
1.975,1975,0
